,composition,num_of_li,4b_1,4b_2,4b_3,4b_4,16e,4a_1,4a_2,4a_3,4a_4,4c_1,4c_2,4c_3,4c_4,volume,conductivity
0,Li28Ge4S20Br4,28,Ge,Ge,Ge,Ge,S,S,S,S,S,Br,Br,Br,Br,1079.12677810098,29.27914765051613
1,Li28Ge4S20Br4,28,Ge,Ge,Ge,Ge,S,S,S,S,Br,S,Br,Br,Br,1086.0786172222033,99.97065738315004
2,Li28Ge4S20Br4,28,Ge,Ge,Ge,Ge,S,S,S,Br,Br,S,S,Br,Br,1102.2258403859587,40.82379168664301
3,Li28Ge4S20Br4,28,Ge,Ge,Ge,Ge,S,S,S,Br,Br,S,S,Br,Br,1109.6561791880858,18.468146774199933
4,Li28Ge4S20Br4,28,Ge,Ge,Ge,Ge,S,S,Br,Br,Br,S,S,S,Br,1098.8482230321079,60.18237498763281
5,Li28Ge4S20Br4,28,Ge,Ge,Ge,Ge,S,Br,Br,Br,Br,S,S,S,S,1107.4089839401101,80.62972467654035
6,Li28Ge4S20Cl4,28,Ge,Ge,Ge,Ge,S,S,S,S,S,Cl,Cl,Cl,Cl,1070.360504978911,20.212025356340455
7,Li28Ge4S20Cl4,28,Ge,Ge,Ge,Ge,S,S,S,S,Cl,S,Cl,Cl,Cl,1059.051979736073,18.745785518513202
8,Li28Ge4S20Cl4,28,Ge,Ge,Ge,Ge,S,S,S,Cl,Cl,S,S,Cl,Cl,1095.1965788064954,61.60629859571122
9,Li28Ge4S20Cl4,28,Ge,Ge,Ge,Ge,S,S,S,Cl,Cl,S,S,Cl,Cl,1082.6268548692885,63.36250756735888
10,Li28Ge4S20Cl4,28,Ge,Ge,Ge,Ge,S,S,Cl,Cl,Cl,S,S,S,Cl,1086.1601434458364,26.362330034324756
11,Li28Ge4S20Cl4,28,Ge,Ge,Ge,Ge,S,Cl,Cl,Cl,Cl,S,S,S,S,1100.048459180425,124.74152484535125
12,Li28Ge4S20I4,28,Ge,Ge,Ge,Ge,S,S,S,S,S,I,I,I,I,1113.286710602921,18.63518173644856
13,Li28Ge4S20I4,28,Ge,Ge,Ge,Ge,S,S,S,S,I,S,I,I,I,1126.8838016124712,60.531318511244194
14,Li28Ge4S20I4,28,Ge,Ge,Ge,Ge,S,S,S,I,I,S,S,I,I,1140.5932456348273,25.673446008302165
15,Li28Ge4S20I4,28,Ge,Ge,Ge,Ge,S,S,S,I,I,S,S,I,I,1143.0718746959399,12.183249273826323
16,Li28Ge4S20I4,28,Ge,Ge,Ge,Ge,S,S,I,I,I,S,S,S,I,1134.4863674177168,43.54798238789672
17,Li28Ge4S20I4,28,Ge,Ge,Ge,Ge,S,I,I,I,I,S,S,S,S,1132.9777836167011,40.09741564506307
18,Li28Ge4Se20Br4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Se,Se,Br,Br,Br,Br,1254.2017081711158,29.241810995200797
19,Li28Ge4Se20Br4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Se,Br,Se,Br,Br,Br,1268.3443187577727,62.063927269690396
20,Li28Ge4Se20Br4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Br,Br,Se,Se,Br,Br,1261.6011371298346,103.4122512335478
21,Li28Ge4Se20Br4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Br,Br,Se,Se,Br,Br,1266.0214314945645,40.63513750958703
22,Li28Ge4Se20Br4,28,Ge,Ge,Ge,Ge,Se,Se,Br,Br,Br,Se,Se,Se,Br,1249.2214215530937,73.41324952940181
23,Li28Ge4Se20Br4,28,Ge,Ge,Ge,Ge,Se,Br,Br,Br,Br,Se,Se,Se,Se,1281.9082462447257,97.3990457305524
24,Li28Ge4Se20Cl4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Se,Se,Cl,Cl,Cl,Cl,1223.758882443647,3.3434153569784884
25,Li28Ge4Se20Cl4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Se,Cl,Se,Cl,Cl,Cl,1221.895227059626,9.728205413293828
26,Li28Ge4Se20Cl4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1260.551059308744,35.983830724105395
27,Li28Ge4Se20Cl4,28,Ge,Ge,Ge,Ge,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1250.7335653460366,86.15071210149746
28,Li28Ge4Se20Cl4,28,Ge,Ge,Ge,Ge,Se,Se,Cl,Cl,Cl,Se,Se,Se,Cl,1251.365674824627,43.87288253167093
29,Li28Ge4Se20Cl4,28,Ge,Ge,Ge,Ge,Se,Cl,Cl,Cl,Cl,Se,Se,Se,Se,1266.375226637448,34.08990376405754
30,Li28Ge4Te20I4,28,Ge,Ge,Ge,Ge,Te,Te,Te,Te,Te,I,I,I,I,1532.081356547388,6.8624825282362245
31,Li28Ge4Te20I4,28,Ge,Ge,Ge,Ge,Te,Te,Te,Te,I,Te,I,I,I,1583.6981516227092,155.86195825080583
32,Li28Ge4Te20I4,28,Ge,Ge,Ge,Ge,Te,Te,Te,I,I,Te,Te,I,I,1576.608617175465,183.00202938475812
33,Li28Ge4Te20I4,28,Ge,Ge,Ge,Ge,Te,Te,Te,I,I,Te,Te,I,I,1557.6665151878476,140.3003865025852
34,Li28Ge4Te20I4,28,Ge,Ge,Ge,Ge,Te,Te,I,I,I,Te,Te,Te,I,1600.0945470531515,202.75132930036662
35,Li28Ge4Te20I4,28,Ge,Ge,Ge,Ge,Te,I,I,I,I,Te,Te,Te,Te,1578.8530783786514,55.81402978744072
36,Li24P4S20Br4,24,P,P,P,P,S,S,S,S,Br,S,Br,Br,Br,1035.3360595457834,51.475075403003274
37,Li24P4S20Br4,24,P,P,P,P,S,S,S,Br,Br,S,S,Br,Br,1046.8725068507822,41.68331380547018
38,Li24P4S20Br4,24,P,P,P,P,S,S,S,Br,Br,S,S,Br,Br,1112.7569110474803,51.233825169455436
39,Li24P4S20Br4,24,P,P,P,P,S,S,Br,Br,Br,S,S,S,Br,1047.983279426081,15.950878739076426
40,Li24P4S20Br4,24,P,P,P,P,S,Br,Br,Br,Br,S,S,S,S,1085.106304576,0.00048216233774556574
41,Li24P4S20Br4,24,P,P,P,P,S,S,S,S,S,Br,Br,Br,Br,1109.9180796452108,0.0819393552021452
42,Li24P4S20I4,24,P,P,P,P,S,S,S,S,I,S,I,I,I,1074.6794936440317,16.927698054533348
43,Li24P4S20I4,24,P,P,P,P,S,S,S,I,I,S,S,I,I,1083.2496388792997,30.205893289862164
44,Li24P4S20I4,24,P,P,P,P,S,S,S,I,I,S,S,I,I,1142.5491019589901,16.679421318448156
45,Li24P4S20I4,24,P,P,P,P,S,S,I,I,I,S,S,S,I,1109.6177098518824,4.788836556187978
46,Li24P4S20I4,24,P,P,P,P,S,I,I,I,I,S,S,S,S,1100.4929814014545,3.4020449304057287e-06
47,Li24P4S20I4,24,P,P,P,P,S,S,S,S,S,I,I,I,I,1187.5810914107922,0.0012979505049816654
48,Li21P4S17Br7,21,P,P,P,P,S,S,Br,Br,Br,Br,Br,Br,Br,1028.9982198549699,96.44496701624522
49,Li21P4S17Br7,21,P,P,P,P,S,Br,Br,Br,Br,S,Br,Br,Br,1042.7787459405488,54.2575429246185
50,Li21P4S17Cl7,21,P,P,P,P,S,S,Cl,Cl,Cl,Cl,Cl,Cl,Cl,971.0127599793228,147.44591398002913
51,Li21P4S17Cl7,21,P,P,P,P,S,Cl,Cl,Cl,Cl,S,Cl,Cl,Cl,978.3846565872792,139.48795259765052
52,Li21P4S17I7,21,P,P,P,P,S,S,I,I,I,I,I,I,I,1121.9560764731623,90.56491281817738
53,Li21P4S17I7,21,P,P,P,P,S,I,I,I,I,S,I,I,I,1114.791049180262,28.74427587614221
54,Li22P4S18Br6,22,P,P,P,P,S,S,Br,Br,Br,S,Br,Br,Br,1038.7151557666762,77.23168906366331
55,Li22P4S18Br6,22,P,P,P,P,S,S,S,Br,Br,Br,Br,Br,Br,1023.0211916524698,42.7906896547061
56,Li22P4S18Br6,22,P,P,P,P,S,S,Br,Br,Br,S,Br,Br,Br,1038.7151557666762,77.23168906366331
57,Li22P4S18Br6,22,P,P,P,P,S,Br,Br,Br,Br,S,S,Br,Br,1071.595207186849,23.875503272801264
58,Li22P4S18Cl6,22,P,P,P,P,S,S,S,Cl,Cl,Cl,Cl,Cl,Cl,977.8260069427099,68.84493129027254
59,Li22P4S18Cl6,22,P,P,P,P,S,S,Cl,Cl,Cl,S,Cl,Cl,Cl,970.276914640566,88.81586710692663
60,Li22P4S18Cl6,22,P,P,P,P,S,Cl,Cl,Cl,Cl,S,S,Cl,Cl,1045.4436440061238,39.637681266746384
61,Li22P4S18I6,22,P,P,P,P,S,S,S,I,I,I,I,I,I,1091.2448452845433,35.54034092992957
62,Li22P4S18I6,22,P,P,P,P,S,S,I,I,I,S,I,I,I,1099.7061114646613,27.815655091618034
63,Li22P4S18I6,22,P,P,P,P,S,I,I,I,I,S,S,I,I,1112.0927324817594,5.26157960945182
64,Li23P4S19Cl5,23,P,P,P,P,S,S,Cl,Cl,Cl,S,S,Cl,Cl,998.1902893303912,39.87091464806646
65,Li23P4S19Br5,23,P,P,P,P,S,S,S,S,Br,Br,Br,Br,Br,1017.4366912521639,34.231690144473205
66,Li23P4S19Br5,23,P,P,P,P,S,S,S,Br,Br,S,Br,Br,Br,1029.3869992247141,65.30422162598721
67,Li23P4S19Br5,23,P,P,P,P,S,S,Br,Br,Br,S,S,Br,Br,1035.186565329045,29.90876123386
68,Li23P4S19Br5,23,P,P,P,P,S,Br,Br,Br,Br,S,S,S,Br,1099.7616723176327,2.994057739161524
69,Li23P4S19Cl5,23,P,P,P,P,S,S,S,S,Cl,Cl,Cl,Cl,Cl,1026.4930207233238,70.61823164627795
70,Li23P4S19Cl5,23,P,P,P,P,S,S,S,Cl,Cl,S,Cl,Cl,Cl,1004.2391293693181,69.06354524312836
71,Li23P4S19Cl5,23,P,P,P,P,S,S,Cl,Cl,Cl,S,S,Cl,Cl,998.1902893303912,39.87091464806646
72,Li23P4S19Cl5,23,P,P,P,P,S,Cl,Cl,Cl,Cl,S,S,S,Cl,1085.4369399448035,14.744083997304655
73,Li23P4S19I5,23,P,P,P,P,S,S,S,S,I,I,I,I,I,1062.997685581479,9.678095367935457
74,Li23P4S19I5,23,P,P,P,P,S,S,S,I,I,S,I,I,I,1079.1006480667834,30.310017906897183
75,Li23P4S19I5,23,P,P,P,P,S,S,I,I,I,S,S,I,I,1097.3471882796491,21.840315898229886
76,Li23P4S19I5,23,P,P,P,P,S,I,I,I,I,S,S,S,I,1105.192196332075,0.017345083521445304
77,Li20P4S16Cl8,20,P,P,P,P,S,Cl,Cl,Cl,Cl,Cl,Cl,Cl,Cl,1017.3165808351304,78.3381518488178
78,Li20P4S16Br8,20,P,P,P,P,S,Br,Br,Br,Br,Br,Br,Br,Br,1024.1515791685476,117.33172713195411
79,Li20P4S16I8,20,P,P,P,P,S,I,I,I,I,I,I,I,I,1131.5115263864866,64.50839756211919
80,Li24P4S20Cl4,24,P,P,P,P,S,S,S,S,Cl,S,Cl,Cl,Cl,1029.2279098641884,59.694548265769846
81,Li24P4S20Cl4,24,P,P,P,P,S,S,S,Cl,Cl,S,S,Cl,Cl,1041.0186154017001,114.67270541341172
82,Li24P4S20Cl4,24,P,P,P,P,S,S,Cl,Cl,Cl,S,S,S,Cl,1074.8324449087015,44.76815526547421
83,Li24P4S20Cl4,24,P,P,P,P,S,Cl,Cl,Cl,Cl,S,S,S,S,1079.1134428368314,0.03683389878275061
84,Li24P4Se20Br4,24,P,P,P,P,Se,Se,Se,Br,Br,Se,Se,Br,Br,1287.7943259570181,55.93812599531907
85,Li28P4S24,28,P,P,P,P,S,S,S,S,S,S,S,S,S,1185.6177703348328,168.63562105703292
86,Li28P4Se24,28,P,P,P,P,Se,Se,Se,Se,Se,Se,Se,Se,Se,1169.1260380780393,9.057390891096283
87,Li28Sb4S24,28,Sb,Sb,Sb,Sb,S,S,S,S,S,S,S,S,S,1131.3924270970629,501.70892461649595
88,Li28Sb4Se24,28,Sb,Sb,Sb,Sb,Se,Se,Se,Se,Se,Se,Se,Se,Se,1301.4916484011176,31.883822999706503
89,Li32Ge4Se24,32,Ge,Ge,Ge,Ge,Se,Se,Se,Se,Se,Se,Se,Se,Se,1230.9230891700427,234.3886407206261
90,Li32Si4Se24,32,Si,Si,Si,Si,Se,Se,Se,Se,Se,Se,Se,Se,Se,1205.0387147129377,188.94741298840813
91,Li32Si4Te24,32,Si,Si,Si,Si,Te,Te,Te,Te,Te,Te,Te,Te,Te,1538.5529600402338,185.03964903362018
92,Li24P4Se20Br4,24,P,P,P,P,Se,Se,Se,Se,Se,Br,Br,Br,Br,1281.6276438855732,1.9256433157517785
93,Li24P4Se20Br4,24,P,P,P,P,Se,Se,Se,Se,Br,Se,Br,Br,Br,1217.1753543696436,70.88129876349821
94,Li24P4Se20Br4,24,P,P,P,P,Se,Se,Se,Br,Br,Se,Se,Br,Br,1287.7943259570181,55.93812599531907
95,Li24P4Se20Br4,24,P,P,P,P,Se,Se,Se,Br,Br,Se,Se,Br,Br,1212.2684637982547,27.172108852918377
96,Li24P4Se20Br4,24,P,P,P,P,Se,Se,Br,Br,Br,Se,Se,Se,Br,1263.932115138407,14.52605530267332
97,Li24P4Se20Br4,24,P,P,P,P,Se,Br,Br,Br,Br,Se,Se,Se,Se,1281.1786682316706,0.11584096970639815
98,Li24P4Se20Cl4,24,P,P,P,P,Se,Se,Se,Se,Se,Cl,Cl,Cl,Cl,1233.5738437572172,1.2498008574103323
99,Li24P4Se20Cl4,24,P,P,P,P,Se,Se,Se,Se,Cl,Se,Cl,Cl,Cl,1204.4593799336085,48.72268480475299
100,Li24P4Se20Cl4,24,P,P,P,P,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1262.7764334768326,227.14042998177632
101,Li24P4Se20Cl4,24,P,P,P,P,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1175.7556094932274,51.56427459728743
102,Li24P4Se20Cl4,24,P,P,P,P,Se,Se,Cl,Cl,Cl,Se,Se,Se,Cl,1236.656396394893,105.77640797235979
103,Li24P4Se20Cl4,24,P,P,P,P,Se,Cl,Cl,Cl,Cl,Se,Se,Se,Se,1282.4220350681487,0.8030000635659281
104,Li24Te20P4Br4,24,P,P,P,P,Te,Te,Te,Te,Te,Br,Br,Br,Br,1534.903696998405,107.72649547291573
105,Li24Te20P4Br4,24,P,P,P,P,Te,Te,Te,Te,Br,Te,Br,Br,Br,1502.850738474194,72.31106411526822
106,Li24Te20P4Br4,24,P,P,P,P,Te,Te,Te,Br,Br,Te,Te,Br,Br,1614.3072351105852,78.13449010145378
107,Li24Te20P4Br4,24,P,P,P,P,Te,Te,Te,Br,Br,Te,Te,Br,Br,1522.1462261306017,55.29803238785715
108,Li24Te20P4Br4,24,P,P,P,P,Te,Te,Br,Br,Br,Te,Te,Te,Br,1588.3481511513266,166.02382863080274
109,Li24Te20P4Br4,24,P,P,P,P,Te,Br,Br,Br,Br,Te,Te,Te,Te,1626.211928594358,72.53547641606055
110,Li24Te20P4Cl4,24,P,P,P,P,Te,Te,Te,Te,Te,Cl,Cl,Cl,Cl,1502.6851367355982,228.41174266049597
111,Li24Te20P4Cl4,24,P,P,P,P,Te,Te,Te,Te,Cl,Te,Cl,Cl,Cl,1485.6757089475752,61.465173836569875
112,Li24Te20P4Cl4,24,P,P,P,P,Te,Te,Te,Cl,Cl,Te,Te,Cl,Cl,1589.3643282425662,125.31589149494295
113,Li24Te20P4Cl4,24,P,P,P,P,Te,Te,Te,Cl,Cl,Te,Te,Cl,Cl,1526.7076874705915,43.64219750351039
114,Li24Te20P4Cl4,24,P,P,P,P,Te,Te,Cl,Cl,Cl,Te,Te,Te,Cl,1622.274453249083,140.86797926506404
115,Li24Te20P4Cl4,24,P,P,P,P,Te,Cl,Cl,Cl,Cl,Te,Te,Te,Te,1652.2844512854526,17.96581656566861
116,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,S,S,Br,Br,Br,Br,1064.5123356567485,19.38832192309107
117,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,S,Br,S,Br,Br,Br,1053.1177764043653,51.09974058344756
118,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,Br,Br,S,S,Br,Br,1057.2044304117273,68.09444280122175
119,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,Br,Br,S,S,Br,Br,1071.094329576078,28.880479844857675
120,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,Br,Br,Br,S,S,S,Br,1077.5104397408065,15.421403921699845
121,Li28Si4S20Br4,28,Si,Si,Si,Si,S,Br,Br,Br,Br,S,S,S,S,1067.3771137753092,83.7377041657676
122,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,S,S,Cl,Cl,Cl,Cl,1036.546556641351,69.0302629607925
123,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,S,Cl,S,Cl,Cl,Cl,1025.70289191301,30.972715544228397
124,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,Cl,Cl,S,S,Cl,Cl,1049.4653900102492,64.87510588075818
125,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,Cl,Cl,S,S,Cl,Cl,1057.6872525102397,70.95719987549388
126,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,Cl,Cl,Cl,S,S,S,Cl,1066.3704026466698,43.572966472142
127,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,Cl,Cl,Cl,Cl,S,S,S,S,1067.8152595167542,40.199793600704695
128,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,S,S,I,I,I,I,1112.6221304546268,46.88069036292621
129,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,S,I,S,I,I,I,1089.917806575185,52.76370699128819
130,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,I,I,S,S,I,I,1109.0773956315163,26.340662489488125
131,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,I,I,S,S,I,I,1120.9402068715858,23.57027072324205
132,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,I,I,I,S,S,S,I,1102.351562959848,27.913818216828602
133,Li28Si4S20I4,28,Si,Si,Si,Si,S,I,I,I,I,S,S,S,S,1109.3093043031133,17.0547797007061
134,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Se,Se,Cl,Cl,Cl,Cl,1192.199542342359,13.342363223879735
135,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Se,Cl,Se,Cl,Cl,Cl,1196.0856097493056,64.30656625969041
136,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1219.743892193116,235.59106673320798
137,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1216.1321431980132,173.53401440024123
138,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Cl,Cl,Cl,Se,Se,Se,Cl,1220.7395893610726,121.94183561008136
139,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Cl,Cl,Cl,Cl,Se,Se,Se,Se,1211.4093410719922,75.64529772623895
140,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,Te,Te,I,I,I,I,1588.4611039077652,122.00651132971107
141,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,Te,I,Te,I,I,I,1560.4388662889337,199.04294015114704
142,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,I,I,Te,Te,I,I,1554.6840230200676,84.14514360488364
143,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,I,I,Te,Te,I,I,1613.1192090786574,244.88723118007908
144,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,I,I,I,Te,Te,Te,I,1580.486540985362,214.40707920385108
145,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,I,I,I,I,Te,Te,Te,Te,1612.7265151862896,43.37864992184407
146,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,S,S,Br,Br,Br,Br,1168.4870073164689,46.272835313585404
147,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,S,Br,S,Br,Br,Br,1171.409925896877,24.889386958027053
148,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,Br,Br,S,S,Br,Br,1190.6089239979171,5.754193179530151
149,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,Br,Br,S,S,Br,Br,1183.9912671117029,9.367155847279816
150,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,Br,Br,Br,S,S,S,Br,1199.0471256350982,2.9659666980534043
151,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,Br,Br,Br,Br,S,S,S,S,1181.6380454109647,25.11251037805224
152,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,S,S,Cl,Cl,Cl,Cl,1203.8506892720463,9.98031739878542
153,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,S,Cl,S,Cl,Cl,Cl,1180.1797754013583,4.379673974457572
154,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,Cl,Cl,S,S,Cl,Cl,1174.4577952356778,1.0868407372114317
155,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,Cl,Cl,S,S,Cl,Cl,1200.0419076585047,12.608714908847176
156,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,Cl,Cl,Cl,S,S,S,Cl,1189.7981648957439,15.579492071369845
157,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,Cl,Cl,Cl,Cl,S,S,S,S,1167.4590676223947,8.389468161602469
158,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,S,S,I,I,I,I,1184.4506017045953,115.42867992800949
159,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,S,I,S,I,I,I,1186.589366303543,40.236157894627105
160,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,I,I,S,S,I,I,1212.6317799629553,22.08517287063105
161,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,I,I,S,S,I,I,1208.0393262337927,28.99555066943479
162,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,I,I,I,S,S,S,I,1209.5657649172908,6.79193329059841
163,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,I,I,I,I,S,S,S,S,1193.1663867772322,17.757821583169086
164,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Se,Se,Br,Br,Br,Br,1332.3345130097573,9.41588730005609
165,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Se,Br,Se,Br,Br,Br,1341.509039442362,3.9020660495096777
166,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Br,Br,Se,Se,Br,Br,1358.7107649610211,7.390748635681374
167,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Br,Br,Se,Se,Br,Br,1350.9551734029128,1.5275664824425026
168,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Br,Br,Br,Se,Se,Se,Br,1357.134932774918,14.928297686775954
169,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Br,Br,Br,Br,Se,Se,Se,Se,1358.6359424741424,36.008085330701824
